scene,heuristic,node_visits_per_ray,prim_tests_per_ray,build_time_ms,render_time_ms,node_count,max_depth,avg_depth,avg_leaf_prims,total_sah_cost,interior_visits_per_ray,node_visits_max,node_visits_p95,prim_tests_max,prim_tests_p95,leaf_sah_cost,leaf_count,prim_count,total_rays,total_node_visits,total_prim_tests,incomplete_traversals,unmatched_prims,flattened_index_count,render_time_min_ms,render_time_stddev_ms,width,height,samples,rng_seed,bvh_seed,leaf_cutoff,warmup_runs,timed_runs,adapter,backend
teapot,LongestAxisCentroid,2.574059,4.541605,0.1241,25.8429,39,5,4.4000,14.5000,55.893636,2.112891,18.200000,4.733333,77.500000,12.047619,48.447058,20,290,4188319,10780981,19021689,0,0,290,20.4684,5.8997,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
teapot,Median,2.465346,5.283704,0.1285,23.1184,31,4,4.0000,18.1250,62.620210,1.971456,14.000000,4.454545,72.500000,14.000000,55.823302,16,290,4188319,10325657,22129837,0,0,290,21.4230,1.8638,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
teapot,Sah,2.256589,2.162640,0.2921,13.7857,43,6,4.6364,13.1818,29.988185,1.942301,13.000000,4.000000,44.500000,6.100000,23.999185,22,290,4188319,9451315,9057827,0,0,290,13.3177,0.4624,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
teapot,Random,3.490032,4.554671,0.1620,24.0102,57,8,6.1379,10.0000,64.224877,2.578647,24.000000,7.000000,61.500000,12.190476,51.968887,29,290,4188319,14617367,19076416,0,0,290,21.6956,2.2677,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
standford_dragon,LongestAxisCentroid,5.068939,4.490061,6.6883,40.0726,2801,13,10.6403,13.7987,79.932080,4.478996,50.000000,12.058824,102.500000,14.450000,57.608882,1401,19332,4188287,21230173,18805666,0,0,19332,35.7910,2.5177,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
standford_dragon,Median,5.017753,6.343270,15.6670,49.2419,2047,10,10.0000,18.8789,103.882696,4.405482,50.000000,11.818182,132.000000,20.416667,81.945570,1024,19332,4188287,21015791,26567435,0,0,19332,41.6220,3.8874,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
standford_dragon,Sah,4.500209,3.507788,52.9939,32.6823,2811,13,10.7795,13.7496,64.146228,4.022683,50.000000,10.555556,83.500000,11.500000,45.083935,1406,19332,4188287,18848165,14691623,0,0,19332,30.5480,2.1343,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
standford_dragon,Random,10.254053,9.265655,12.5764,78.3255,3595,26,15.7775,10.7519,171.573858,8.117640,156.000000,27.545455,232.000000,31.032258,119.697109,1798,19332,4188287,42946917,38807224,0,0,19332,73.7161,3.8543,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
train,LongestAxisCentroid,3.859694,3.187029,6.3607,40.0799,2575,13,10.6599,13.0512,215.637822,3.437301,270.000000,9.800000,658.500000,11.000000,162.216635,1288,16810,4150870,16021086,13228943,0,0,16810,35.0060,3.8922,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
train,Median,4.353292,5.849213,8.3690,56.2193,2047,10,10.0000,16.4160,364.385343,3.742706,292.000000,11.235294,970.000000,20.269231,301.118431,1024,16810,4150870,18069950,24279324,0,0,16810,47.5681,6.1732,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
train,Sah,2.501467,1.401263,44.1026,19.9463,2539,15,11.1543,13.2362,101.880342,2.283379,90.000000,6.222222,202.500000,5.322581,71.593741,1270,16810,4150870,10383266,5816460,0,0,16810,16.3884,2.8871,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
train,Random,4.264123,3.981839,9.2853,37.7925,2921,28,14.0986,11.5058,304.174623,3.534987,131.000000,13.500000,268.500000,16.238095,222.833512,1461,16810,4150870,17699822,16528097,0,0,16810,33.3957,2.7889,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
