set,scene,scene_key,prim_count,heuristic,seed,measurement,run,value_ms
A,Icosphere,icosphere,150000,LongestAxisCentroid,-,build,1,44.978900
A,Icosphere,icosphere,150000,LongestAxisCentroid,-,build,2,49.781400
A,Icosphere,icosphere,150000,LongestAxisCentroid,-,build,3,46.246400
A,Icosphere,icosphere,150000,LongestAxisCentroid,-,build,4,45.663200
A,Icosphere,icosphere,150000,LongestAxisCentroid,-,build,5,46.374300
A,Icosphere,icosphere,150000,LongestAxisCentroid,-,render,1,1544.215120
A,Icosphere,icosphere,150000,LongestAxisCentroid,-,render,2,1549.960240
A,Icosphere,icosphere,150000,LongestAxisCentroid,-,render,3,1549.288200
A,Icosphere,icosphere,150000,LongestAxisCentroid,-,render,4,1542.134680
A,Icosphere,icosphere,150000,LongestAxisCentroid,-,render,5,1540.741600
A,Icosphere,icosphere,150000,Median,-,build,1,107.305300
A,Icosphere,icosphere,150000,Median,-,build,2,108.767500
A,Icosphere,icosphere,150000,Median,-,build,3,106.585900
A,Icosphere,icosphere,150000,Median,-,build,4,105.879800
A,Icosphere,icosphere,150000,Median,-,build,5,105.519700
A,Icosphere,icosphere,150000,Median,-,render,1,916.222920
A,Icosphere,icosphere,150000,Median,-,render,2,925.597040
A,Icosphere,icosphere,150000,Median,-,render,3,915.167800
A,Icosphere,icosphere,150000,Median,-,render,4,917.207360
A,Icosphere,icosphere,150000,Median,-,render,5,915.268200
A,Icosphere,icosphere,150000,Sah,-,build,1,347.712700
A,Icosphere,icosphere,150000,Sah,-,build,2,344.607300
A,Icosphere,icosphere,150000,Sah,-,build,3,348.365600
A,Icosphere,icosphere,150000,Sah,-,build,4,347.318100
A,Icosphere,icosphere,150000,Sah,-,build,5,346.730000
A,Icosphere,icosphere,150000,Sah,-,render,1,919.501360
A,Icosphere,icosphere,150000,Sah,-,render,2,1015.396360
A,Icosphere,icosphere,150000,Sah,-,render,3,1010.702040
A,Icosphere,icosphere,150000,Sah,-,render,4,1014.803160
A,Icosphere,icosphere,150000,Sah,-,render,5,1017.297480
A,Icosphere,icosphere,150000,Random,1,build,1,56.622200
A,Icosphere,icosphere,150000,Random,1,build,2,58.160800
A,Icosphere,icosphere,150000,Random,1,build,3,57.834200
A,Icosphere,icosphere,150000,Random,1,build,4,56.009600
A,Icosphere,icosphere,150000,Random,1,build,5,57.335400
A,Icosphere,icosphere,150000,Random,1,render,1,741.645520
A,Icosphere,icosphere,150000,Random,1,render,2,1010.297320
A,Icosphere,icosphere,150000,Random,1,render,3,750.618280
A,Icosphere,icosphere,150000,Random,1,render,4,744.682480
A,Icosphere,icosphere,150000,Random,1,render,5,748.022120
A,Icosphere,icosphere,150000,Random,2,build,1,53.570000
A,Icosphere,icosphere,150000,Random,2,build,2,54.766600
A,Icosphere,icosphere,150000,Random,2,build,3,53.958800
A,Icosphere,icosphere,150000,Random,2,build,4,53.394700
A,Icosphere,icosphere,150000,Random,2,build,5,54.384600
A,Icosphere,icosphere,150000,Random,2,render,1,1553.441400
A,Icosphere,icosphere,150000,Random,2,render,2,1551.874680
A,Icosphere,icosphere,150000,Random,2,render,3,747.217640
A,Icosphere,icosphere,150000,Random,2,render,4,1556.471240
A,Icosphere,icosphere,150000,Random,2,render,5,1554.551080
A,Icosphere,icosphere,150000,Random,3,build,1,55.629000
A,Icosphere,icosphere,150000,Random,3,build,2,57.949000
A,Icosphere,icosphere,150000,Random,3,build,3,55.811800
A,Icosphere,icosphere,150000,Random,3,build,4,56.792100
A,Icosphere,icosphere,150000,Random,3,build,5,56.191000
A,Icosphere,icosphere,150000,Random,3,render,1,1721.190960
A,Icosphere,icosphere,150000,Random,3,render,2,1724.400120
A,Icosphere,icosphere,150000,Random,3,render,3,1734.155200
A,Icosphere,icosphere,150000,Random,3,render,4,1557.004160
A,Icosphere,icosphere,150000,Random,3,render,5,1732.610120
A,Icosphere,icosphere,150000,Random,4,build,1,53.577800
A,Icosphere,icosphere,150000,Random,4,build,2,54.594500
A,Icosphere,icosphere,150000,Random,4,build,3,53.224700
A,Icosphere,icosphere,150000,Random,4,build,4,54.225100
A,Icosphere,icosphere,150000,Random,4,build,5,55.918200
A,Icosphere,icosphere,150000,Random,4,render,1,1487.086240
A,Icosphere,icosphere,150000,Random,4,render,2,1479.719520
A,Icosphere,icosphere,150000,Random,4,render,3,1494.118560
A,Icosphere,icosphere,150000,Random,4,render,4,1484.244240
A,Icosphere,icosphere,150000,Random,4,render,5,1727.956120
A,Icosphere,icosphere,150000,Random,5,build,1,51.151500
A,Icosphere,icosphere,150000,Random,5,build,2,53.126900
A,Icosphere,icosphere,150000,Random,5,build,3,52.698700
A,Icosphere,icosphere,150000,Random,5,build,4,52.124700
