set,scene,heuristic,R1,R2,R3,R4,R5,mean,sd
A,Icosphere,LongestAxisCentroid,44.9789,49.7814,46.2464,45.6632,46.3743,46.6088,1.8576
A,Icosphere,Median,107.3053,108.7675,106.5859,105.8798,105.5197,106.8116,1.2901
A,Icosphere,Sah,347.7127,344.6073,348.3656,347.3181,346.7300,346.9467,1.4368
A,Icosphere,Random,57.1924,54.0149,56.4746,54.3081,52.1305,54.8241,2.0316
A,Utah Teapot,LongestAxisCentroid,47.5872,42.6363,47.6626,44.7382,42.5227,45.0294,2.5284
A,Utah Teapot,Median,114.3674,113.4125,107.9791,107.8726,112.0430,111.1349,3.0440
A,Utah Teapot,Sah,389.0395,385.4143,386.7136,392.0113,391.0793,388.8516,2.8003
A,Utah Teapot,Random,59.0654,55.2185,55.0482,54.7642,53.7487,55.5690,2.0359
A,Coral,LongestAxisCentroid,42.4601,46.7735,41.8139,42.7265,41.8449,43.1238,2.0779
A,Coral,Median,114.5766,113.8428,120.0201,114.7930,113.7994,115.4064,2.6162
A,Coral,Sah,399.5254,395.8470,393.7739,393.9387,395.3741,395.6918,2.3223
A,Coral,Random,56.1908,59.8652,57.6372,60.5964,52.1574,57.2894,3.3629
B,Stanford Dragon 10k,LongestAxisCentroid,2.0369,2.0465,2.1069,2.0965,2.0610,2.0696,0.0308
B,Stanford Dragon 10k,Median,4.3722,4.4299,5.6237,4.4341,4.4238,4.6567,0.5411
B,Stanford Dragon 10k,Sah,15.1942,15.0081,15.5850,14.6740,14.6207,15.0164,0.3965
B,Stanford Dragon 10k,Random,2.4351,2.5004,2.4821,2.4405,2.4167,2.4550,0.0349
B,Stanford Dragon 50k,LongestAxisCentroid,11.9859,12.5561,11.9410,12.6491,13.8164,12.5897,0.7574
B,Stanford Dragon 50k,Median,31.3670,31.5276,31.4521,31.9358,31.9034,31.6372,0.2642
B,Stanford Dragon 50k,Sah,111.3273,111.5410,110.9532,112.1628,112.6249,111.7218,0.6688
B,Stanford Dragon 50k,Random,16.0569,17.6727,15.9562,15.2949,16.0895,16.2140,0.8774
B,Stanford Dragon 150k,LongestAxisCentroid,43.0558,49.7604,42.5128,42.9792,44.5855,44.5787,2.9998
B,Stanford Dragon 150k,Median,112.1920,115.6792,111.6443,112.7190,119.6442,114.3757,3.3328
B,Stanford Dragon 150k,Sah,405.8827,404.2318,406.7020,405.7263,405.7262,405.6538,0.8921
B,Stanford Dragon 150k,Random,57.2824,55.9745,53.3853,56.3623,52.5607,55.1131,2.0315
B,Stanford Dragon 400k,LongestAxisCentroid,145.7341,149.6987,131.9013,131.6099,130.3871,137.8662,9.1183
B,Stanford Dragon 400k,Median,362.9330,357.3453,357.2241,357.0297,355.6278,358.0320,2.8253
B,Stanford Dragon 400k,Sah,1290.2784,1286.5642,1259.7187,1266.3343,1278.9759,1276.3743,13.0589
B,Stanford Dragon 400k,Random,167.7894,169.5370,185.4502,183.0244,169.1050,174.9812,8.5174
B,Stanford Dragon 1000k,LongestAxisCentroid,390.1037,369.6071,368.1702,368.0128,389.3900,377.0568,11.6038
B,Stanford Dragon 1000k,Median,991.5158,1024.7441,989.6605,985.0765,1016.5813,1001.5156,17.8698
B,Stanford Dragon 1000k,Sah,3685.1110,3661.6211,3688.2413,3654.0684,3661.4874,3670.1058,15.4719
B,Stanford Dragon 1000k,Random,495.5822,473.6355,470.4925,520.0620,501.5411,492.2627,20.5598
