set,scene,heuristic,R1,R2,R3,R4,R5,mean,sd
A,Icosphere,LongestAxisCentroid,1544.2151,1549.9602,1549.2882,1542.1347,1540.7416,1545.2680,4.1711
A,Icosphere,Median,916.2229,925.5970,915.1678,917.2074,915.2682,917.8927,4.3854
A,Icosphere,Sah,919.5014,1015.3964,1010.7020,1014.8032,1017.2975,995.5401,42.5749
A,Icosphere,Random,799.0531,1392.7112,1693.8721,1534.6249,1541.3966,1392.3316,348.3439
A,Utah Teapot,LongestAxisCentroid,1843.1574,1851.5786,1842.4717,1848.6331,1862.2815,1849.6245,8.0310
A,Utah Teapot,Median,712.9382,711.8407,714.7950,714.7518,711.9386,713.2528,1.4531
A,Utah Teapot,Sah,712.3785,826.0438,828.9187,832.6924,826.5852,805.3237,52.0239
A,Utah Teapot,Random,623.2719,1350.1504,1642.1188,1761.9399,1653.7098,1406.2382,463.5697
A,Coral,LongestAxisCentroid,2539.3674,2544.2807,2539.1976,2542.6002,2543.9296,2541.8751,2.4490
A,Coral,Median,823.2997,817.0496,828.7367,818.4169,826.2140,822.7434,4.9853
A,Coral,Sah,821.7423,1058.9093,1050.2116,1057.5819,1054.5166,1008.5924,104.5059
A,Coral,Random,765.6391,1989.1484,2927.2675,3220.1834,2037.3221,2187.9121,961.4150
B,Stanford Dragon 10k,LongestAxisCentroid,1177.9575,1176.4341,1177.4350,1180.1141,1179.4152,1178.2712,1.4898
B,Stanford Dragon 10k,Median,520.2528,519.5972,523.7458,519.5618,519.4725,520.5260,1.8265
B,Stanford Dragon 10k,Sah,519.1987,652.4708,652.3660,652.1846,658.1688,626.8778,60.2474
B,Stanford Dragon 10k,Random,471.1395,951.7623,1180.7903,1190.7279,1408.0117,1040.4864,356.8474
B,Stanford Dragon 50k,LongestAxisCentroid,1540.4647,1529.7229,1539.2325,1538.5545,1538.1959,1537.2341,4.2871
B,Stanford Dragon 50k,Median,618.3047,620.6074,617.0668,620.4104,617.0725,618.6923,1.7346
B,Stanford Dragon 50k,Sah,620.5842,624.3444,625.6480,622.4145,627.8869,624.1756,2.8271
B,Stanford Dragon 50k,Random,543.3814,1351.0195,1653.7862,1712.7682,1744.2070,1401.0324,504.2071
B,Stanford Dragon 150k,LongestAxisCentroid,2492.4748,2518.4578,2528.1180,2526.5740,2495.4451,2512.2140,17.0950
B,Stanford Dragon 150k,Median,738.3931,736.4022,739.5498,737.4410,738.3124,738.0197,1.1745
B,Stanford Dragon 150k,Sah,736.9274,923.3102,919.1598,919.2688,919.2777,883.5888,82.0052
B,Stanford Dragon 150k,Random,682.7677,2746.2484,2231.4748,2103.8413,2159.7292,1984.8123,771.4777
B,Stanford Dragon 400k,LongestAxisCentroid,3377.3966,3339.3411,3348.2885,3339.3732,3348.2018,3350.5202,15.6678
B,Stanford Dragon 400k,Median,822.6235,814.6655,820.5290,817.3530,824.3328,819.9008,3.9163
B,Stanford Dragon 400k,Sah,815.5438,832.2695,828.8624,833.6905,832.3060,828.5345,7.4770
B,Stanford Dragon 400k,Random,719.7144,2397.7123,2967.3890,3451.3351,3614.5278,2630.1357,1168.4248
B,Stanford Dragon 1000k,LongestAxisCentroid,3511.0574,3554.7456,3524.7204,3519.7954,3470.4195,3516.1477,30.3874
B,Stanford Dragon 1000k,Median,1029.8974,1032.8758,1029.1084,1028.9028,1031.7358,1030.5040,1.7337
B,Stanford Dragon 1000k,Sah,1030.6170,1113.5147,1113.3111,1113.8441,1116.1246,1097.4823,37.3959
B,Stanford Dragon 1000k,Random,916.6699,2770.9295,3207.4430,3492.9828,3235.0866,2724.6224,1043.4203
