set,scene,heuristic,node_count,leaf_count,max_depth,avg_depth,avg_leaf_prims,total_sah_cost
A,Icosphere,LongestAxisCentroid,20087.0,10044.0,16.0,13.3826,14.9343,82.9703
A,Icosphere,Median,16383.0,8192.0,13.0,13.0000,18.3105,94.2915
A,Icosphere,Sah,20787.0,10394.0,16.0,13.4841,14.4314,65.8363
A,Icosphere,Random,26187.8,13094.4,33.6,18.6934,11.4557,137.7909
A,Utah Teapot,LongestAxisCentroid,21519.0,10760.0,15.0,13.5718,13.9405,96.0965
A,Utah Teapot,Median,16383.0,8192.0,13.0,13.0000,18.3105,114.8720
A,Utah Teapot,Sah,21295.0,10648.0,17.0,13.6704,14.0872,73.5661
A,Utah Teapot,Random,26993.0,13497.0,35.2,18.9776,11.1136,249.5347
A,Coral,LongestAxisCentroid,21391.0,10696.0,16.0,13.5755,14.0239,96.8004
A,Coral,Median,16383.0,8192.0,13.0,13.0000,18.3105,131.1719
A,Coral,Sah,21647.0,10824.0,17.0,13.7739,13.8581,79.0181
A,Coral,Random,27440.2,13720.6,37.0,19.8881,10.9325,311.4777
B,Stanford Dragon 10k,LongestAxisCentroid,1461.0,731.0,12.0,9.6908,13.6799,81.9247
B,Stanford Dragon 10k,Median,1023.0,512.0,9.0,9.0000,19.5312,107.8886
B,Stanford Dragon 10k,Sah,1479.0,740.0,15.0,9.8973,13.5135,64.6706
B,Stanford Dragon 10k,Random,1831.8,916.4,23.2,13.5548,10.9209,217.1492
B,Stanford Dragon 50k,LongestAxisCentroid,7127.0,3564.0,15.0,12.0008,14.0292,89.6057
B,Stanford Dragon 50k,Median,8191.0,4096.0,12.0,12.0000,12.2070,91.1960
B,Stanford Dragon 50k,Sah,7271.0,3636.0,16.0,12.1257,13.7514,71.6454
B,Stanford Dragon 50k,Random,9099.8,4550.4,30.4,17.4618,10.9883,274.4229
B,Stanford Dragon 150k,LongestAxisCentroid,21467.0,10734.0,16.0,13.5925,13.9743,91.9627
B,Stanford Dragon 150k,Median,16383.0,8192.0,13.0,13.0000,18.3105,120.1116
B,Stanford Dragon 150k,Sah,21803.0,10902.0,18.0,13.7083,13.7589,74.8418
B,Stanford Dragon 150k,Random,27543.8,13772.4,36.4,18.6331,10.8917,346.7083
B,Stanford Dragon 400k,LongestAxisCentroid,56953.0,28477.0,19.0,15.0228,14.0464,95.5028
B,Stanford Dragon 400k,Median,65535.0,32768.0,15.0,15.0000,12.2070,99.8335
B,Stanford Dragon 400k,Sah,57893.0,28947.0,20.0,15.1474,13.8184,78.0469
B,Stanford Dragon 400k,Random,73877.8,36939.4,39.6,21.3872,10.8287,413.6682
B,Stanford Dragon 1000k,LongestAxisCentroid,142275.0,71138.0,21.0,16.3327,14.0572,97.4122
B,Stanford Dragon 1000k,Median,131071.0,65536.0,16.0,16.0000,15.2588,112.7837
B,Stanford Dragon 1000k,Sah,144185.0,72093.0,21.0,16.4612,13.8710,80.9247
B,Stanford Dragon 1000k,Random,184663.0,92332.0,44.8,23.1855,10.8306,366.6655
