set,scene,prim_count,heuristic,node_visits_per_ray,prim_tests_per_ray,build_mean_ms,build_sd_ms,render_mean_ms,render_sd_ms,total_sah_cost
A,Icosphere,150000,LongestAxisCentroid,24.6374,19.6518,46.6088,1.8576,1545.2680,4.1711,82.9703
A,Icosphere,150000,Median,24.4502,24.5859,106.8116,1.2901,917.8927,4.3854,94.2915
A,Icosphere,150000,Sah,23.2179,14.7896,346.9467,1.4368,995.5401,42.5749,65.8363
A,Icosphere,150000,Random,46.7148,30.0366,54.8241,2.0316,1392.3316,348.3439,137.7909
A,Utah Teapot,150000,LongestAxisCentroid,10.0371,8.4738,45.0294,2.5284,1849.6245,8.0310,96.0965
A,Utah Teapot,150000,Median,10.1230,10.8830,111.1349,3.0440,713.2528,1.4531,114.8720
A,Utah Teapot,150000,Sah,8.1204,5.9338,388.8516,2.8003,805.3237,52.0239,73.5661
A,Utah Teapot,150000,Random,22.3997,21.8253,55.5690,2.0359,1406.2382,463.5697,249.5347
A,Coral,150000,LongestAxisCentroid,14.7730,10.2311,43.1238,2.0779,2541.8751,2.4490,96.8004
A,Coral,150000,Median,15.7371,15.3883,115.4064,2.6162,822.7434,4.9853,131.1719
A,Coral,150000,Sah,12.6060,8.4180,395.6918,2.3223,1008.5924,104.5059,79.0181
A,Coral,150000,Random,35.0126,32.4734,57.2894,3.3629,2187.9121,961.4150,311.4777
B,Stanford Dragon 10k,10000,LongestAxisCentroid,7.5016,8.0550,2.0696,0.0308,1178.2712,1.4898,81.9247
B,Stanford Dragon 10k,10000,Median,7.2228,11.6454,4.6567,0.5411,520.5260,1.8265,107.8886
B,Stanford Dragon 10k,10000,Sah,6.4592,6.2432,15.0164,0.3965,626.8778,60.2474,64.6706
B,Stanford Dragon 10k,10000,Random,16.5240,23.1946,2.4550,0.0349,1040.4864,356.8474,217.1492
B,Stanford Dragon 50k,50000,LongestAxisCentroid,9.0818,7.9671,12.5897,0.7574,1537.2341,4.2871,89.6057
B,Stanford Dragon 50k,50000,Median,9.9796,7.7156,31.6372,0.2642,618.6923,1.7346,91.1960
B,Stanford Dragon 50k,50000,Sah,7.9487,6.2532,111.7218,0.6688,624.1756,2.8271,71.6454
B,Stanford Dragon 50k,50000,Random,22.8416,26.1044,16.2140,0.8774,1401.0324,504.2071,274.4229
B,Stanford Dragon 150k,150000,LongestAxisCentroid,10.1727,7.6324,44.5787,2.9998,2512.2140,17.0950,91.9627
B,Stanford Dragon 150k,150000,Median,10.5635,10.9212,114.3757,3.3328,738.0197,1.1745,120.1116
B,Stanford Dragon 150k,150000,Sah,8.9769,6.0693,405.6538,0.8921,883.5888,82.0052,74.8418
B,Stanford Dragon 150k,150000,Random,32.2121,32.9900,55.1131,2.0315,1984.8123,771.4777,346.7083
B,Stanford Dragon 400k,400000,LongestAxisCentroid,11.0884,7.5518,137.8662,9.1183,3350.5202,15.6678,95.5028
B,Stanford Dragon 400k,400000,Median,12.4269,7.3575,358.0320,2.8253,819.9008,3.9163,99.8335
B,Stanford Dragon 400k,400000,Sah,9.8156,6.0047,1276.3743,13.0589,828.5345,7.4770,78.0469
B,Stanford Dragon 400k,400000,Random,40.4780,36.9895,174.9812,8.5174,2630.1357,1168.4248,413.6682
B,Stanford Dragon 1000k,1000000,LongestAxisCentroid,11.9129,7.3270,377.0568,11.6038,3516.1477,30.3874,97.4122
B,Stanford Dragon 1000k,1000000,Median,12.9424,8.6754,1001.5156,17.8698,1030.5040,1.7337,112.7837
B,Stanford Dragon 1000k,1000000,Sah,10.6307,5.9460,3670.1058,15.4719,1097.4823,37.3959,80.9247
B,Stanford Dragon 1000k,1000000,Random,35.9093,29.2511,492.2627,20.5598,2724.6224,1043.4203,366.6655
